Year,Total Population,Total Power Usage (MW),Total Power Generation (MW),Power Balance (MW),Average Public Opinion,Total Operating Cost (€),Total Capital Cost (€),Inflation Factor,Total CO2 Emissions (tons),Total Carbon Offset (tons),Net CO2 Emissions (tons),Active Generators,Upgrade Costs (€),Closure Costs (€)
2025,1564000,1564.00,1594.90,30.90,0.544,660500000.00,20935900000.00,1.000,1040.36,-0.00,1040.36,16,0.00,0.00
2026,1564000,1564.00,1595.18,31.18,0.563,673482784.80,21393916356.00,1.020,1041.27,-0.00,1041.27,18,0.00,0.00
2027,1564000,1564.00,1596.44,32.44,0.615,687300967.00,21888203376.25,1.040,1045.36,-0.00,1045.36,27,0.00,0.00
2028,1564000,1564.00,1596.72,32.72,0.623,701388772.75,22407814444.17,1.061,1046.27,-0.00,1046.27,29,0.00,0.00
2029,1564000,1564.00,1598.12,34.12,0.648,716332344.61,22962660141.05,1.082,1050.82,-0.00,1050.82,39,0.00,0.00
2030,1564000,1564.00,1599.10,35.10,0.660,731755447.01,23545977240.09,1.104,1054.01,-0.00,1054.01,46,0.00,0.00
2031,1564000,1564.00,1599.94,35.94,0.667,739002076.48,23876467225.14,1.113,1056.74,-0.00,1056.74,52,0.00,0.00
2032,1564000,1564.00,1600.92,36.92,0.675,753984975.66,24465300794.12,1.133,1059.92,-0.00,1059.92,59,0.00,0.00
2033,1564000,1564.00,1601.34,37.34,0.678,769457944.08,25081036451.94,1.153,1061.29,-0.00,1061.29,62,0.00,0.00
2034,1564000,1564.00,1601.48,37.48,0.679,785503449.71,25724831069.42,1.174,1061.74,-0.00,1061.74,63,0.00,0.00
2035,1564000,1564.00,1602.32,38.32,0.684,802286210.47,26398691129.14,1.195,1064.47,-0.00,1064.47,69,0.00,0.00
2036,1564000,1564.00,1602.32,38.32,0.685,819619582.82,27100400945.19,1.217,1064.47,-0.00,1064.47,69,0.00,0.00
2037,1564000,1564.00,1603.16,39.16,0.688,837739339.67,27832781547.87,1.239,1067.20,-0.00,1067.20,75,0.00,0.00
2038,1564000,1564.00,1604.14,40.14,0.692,856581333.48,28595213606.06,1.261,1070.39,-0.00,1070.39,82,0.00,0.00
2039,1564000,1564.00,1604.14,40.14,0.693,876067104.05,29387200095.96,1.284,1070.39,-0.00,1070.39,82,0.00,0.00
2040,1564000,1564.00,1604.28,40.28,0.694,896339649.79,30210509685.98,1.307,1070.84,-0.00,1070.84,83,0.00,0.00
2041,1564000,1564.00,1604.28,40.28,0.694,875092425.89,29632725106.72,1.269,1070.84,-0.00,1070.84,83,0.00,0.00
2042,1564000,1564.00,1604.28,40.28,0.695,893347223.10,30389611725.78,1.288,1070.84,-0.00,1070.84,83,0.00,0.00
2043,1564000,1564.00,1604.28,40.28,0.696,912315422.86,31173425425.90,1.307,1070.84,-0.00,1070.84,83,0.00,0.00
2044,1564000,1564.00,1604.28,40.28,0.696,932025006.47,31984713401.68,1.327,1070.84,-0.00,1070.84,83,0.00,0.00
2045,1564000,1564.00,1604.28,40.28,0.697,952505537.87,32824077799.31,1.347,1070.84,-0.00,1070.84,83,0.00,0.00
2046,1564000,1564.00,1604.28,40.28,0.697,973788231.64,33692175149.50,1.367,1070.84,-0.00,1070.84,83,0.00,0.00
2047,1564000,1564.00,1604.28,40.28,0.698,995906025.36,34589716040.11,1.388,1070.84,-0.00,1070.84,83,0.00,0.00
2048,1564000,1564.00,1604.28,40.28,0.698,1018893656.46,35517465017.28,1.408,1070.84,-0.00,1070.84,83,0.00,0.00
2049,1564000,1564.00,1604.28,40.28,0.699,1042787743.63,36476240705.26,1.430,1070.84,-0.00,1070.84,83,0.00,0.00
2050,1564000,1564.00,1604.28,40.28,0.700,1067626873.28,37466916136.30,1.451,1070.84,-0.00,1070.84,83,0.00,0.00
